test_name,test_type,capability,LLaDA-8B_mean,LLaDA-8B_median,LLaDA-8B_npairs,LLaDA-8B_dperp,LLaDA-MoE_mean,LLaDA-MoE_median,LLaDA-MoE_npairs,LLaDA-MoE_dperp,Dream-7B_mean,Dream-7B_median,Dream-7B_npairs,Dream-7B_dperp,Llama-3.1-8B_mean,Llama-3.1-8B_median,Llama-3.1-8B_npairs,Llama-3.1-8B_dperp,Mistral-7B_mean,Mistral-7B_median,Mistral-7B_npairs,Mistral-7B_dperp,Qwen2.5-7B_mean,Qwen2.5-7B_median,Qwen2.5-7B_npairs,Qwen2.5-7B_dperp,Gemma-2-9B_mean,Gemma-2-9B_median,Gemma-2-9B_npairs,Gemma-2-9B_dperp,OLMo-2-7B_mean,OLMo-2-7B_median,OLMo-2-7B_npairs,OLMo-2-7B_dperp
Change same number in both questions,INV,NER,0.3070,0.0000,3999,0.0453,0.5509,0.0000,3999,0.0483,0.4139,0.0000,3999,0.0432,0.9887,0.0000,3999,0.0890,0.7470,0.0000,3999,0.0852,0.0849,0.0000,3999,0.0105,0.3162,0.0000,3999,0.0278,0.2444,0.0000,3999,0.0308
Different animals,MFT,Vocabulary,0.5623,0.0000,464,0.2823,0.0594,0.0000,464,0.0302,0.0000,0.0000,464,0.0000,0.4032,0.0000,464,0.2112,0.0130,0.0000,464,0.0066,0.0000,0.0000,464,0.0000,0.5093,0.0000,464,0.2608,0.0000,0.0000,464,0.0000
Do you have to X your dog before Y it != Do you have to X your dog after Y it.,MFT,Temporal,0.0000,0.0000,499,0.0000,0.1976,0.0000,499,0.0762,0.0492,0.0000,499,0.0219,0.8842,0.0000,499,0.3788,1.1212,1.0007,499,0.5020,0.0000,0.0000,499,0.0000,0.0213,0.0000,499,0.0100,0.0000,0.0000,499,0.0000
How can I become a X person != How can I become a person who is not X,MFT,Negation,0.0000,0.0000,497,0.0000,0.2826,0.0000,497,0.1167,0.3508,0.0000,497,0.1628,0.9315,0.0000,497,0.4950,0.0803,0.0000,497,0.0386,0.0000,0.0000,497,0.0000,0.0000,0.0000,497,0.0000,0.0000,0.0000,497,0.0000
How can I become a X person == How can I become a person who is not antonym(X),MFT,Negation,0.5578,0.0000,1000,0.1690,0.7262,0.0000,1000,0.1790,0.0261,0.0000,1000,0.0068,3.1506,3.5416,1000,0.8270,0.6752,0.0000,1000,0.1858,0.7583,0.0000,1000,0.2120,0.0000,0.0000,1000,0.0000,0.0000,0.0000,1000,0.0000
How can I become more X != How can I become less X,MFT,Vocabulary,0.0000,0.0000,1000,0.0000,0.2094,0.0000,1000,0.0600,0.0000,0.0000,1000,0.0000,0.7405,0.0000,1000,0.1730,0.7327,0.0000,1000,0.1965,0.0000,0.0000,1000,0.0000,0.0000,0.0000,1000,0.0000,0.0000,0.0000,1000,0.0000
How can I become more X = How can I become less antonym(X),MFT,Taxonomy,5.7045,0.0000,325,0.4092,8.0346,12.2458,325,0.5600,0.0000,0.0000,325,0.0000,7.6672,0.0000,325,0.4985,2.8659,0.0039,325,0.1901,0.0000,0.0000,325,0.0000,0.0000,0.0000,325,0.0000,0.0000,0.0000,325,0.0000
How can I become more {synonym}?,MFT,Taxonomy,0.0972,0.0000,3000,0.0293,0.0572,0.0000,3000,0.0127,0.1741,0.0000,3000,0.0386,0.0967,0.0000,3000,0.0293,0.0000,0.0000,3000,0.0000,0.2890,0.0000,3000,0.0320,0.3128,0.0000,3000,0.0693,0.1297,0.0000,3000,0.0217
Irrelevant modifiers - animals,MFT,Vocabulary,0.0000,0.0000,499,0.0000,0.0000,0.0000,499,0.0000,0.0000,0.0000,499,0.0000,0.0035,0.0000,499,0.0020,0.7344,0.0000,499,0.3026,0.0000,0.0000,499,0.0000,0.0092,0.0000,499,0.0040,0.0053,0.0000,499,0.0020
Irrelevant modifiers - people,MFT,Vocabulary,0.0000,0.0000,493,0.0000,0.0000,0.0000,493,0.0000,0.0000,0.0000,493,0.0000,0.0000,0.0000,493,0.0000,0.0732,0.0000,493,0.0467,0.0000,0.0000,493,0.0000,0.0000,0.0000,493,0.0000,0.0148,0.0000,493,0.0081
Irrelevant preamble with different examples.,MFT,Vocabulary,0.0714,0.0000,469,0.0320,0.4933,0.0000,469,0.2068,0.1284,0.0000,469,0.0565,0.0000,0.0000,469,0.0000,0.0914,0.0000,469,0.0341,0.0000,0.0000,469,0.0000,0.0000,0.0000,469,0.0000,0.0000,0.0000,469,0.0000
"Is it {ok, dangerous, ...} to {smoke, rest, ...} after != before",MFT,Temporal,0.0000,0.0000,499,0.0000,0.0621,0.0000,499,0.0281,0.0000,0.0000,499,0.0000,0.1034,0.0000,499,0.0401,1.1005,0.0000,499,0.4513,0.0000,0.0000,499,0.0000,0.0000,0.0000,499,0.0000,0.0000,0.0000,499,0.0000
"Is it {ok, dangerous, ...} to {smoke, rest, ...} in country != Is it {ok, dangerous, ...} not to {smoke, rest, ...} in country",MFT,Negation,0.0000,0.0000,500,0.0000,0.2008,0.0000,500,0.1420,0.4041,0.3259,500,0.2860,0.5835,0.0000,500,0.4060,0.1404,0.0000,500,0.1054,0.0000,0.0000,500,0.0000,0.0025,0.0000,500,0.0020,0.0000,0.0000,500,0.0000
Is person X != Did person use to be X,MFT,Temporal,0.1155,0.0000,499,0.0721,0.2119,0.0000,499,0.1263,0.7527,0.4674,499,0.4415,0.0323,0.0000,499,0.0180,0.0000,0.0000,499,0.0000,0.0000,0.0000,499,0.0000,0.0500,0.0000,499,0.0301,0.0000,0.0000,499,0.0000
Is person X != Is person becoming X,MFT,Temporal,0.0215,0.0000,500,0.0140,0.8828,1.3116,500,0.5340,0.7372,0.5251,500,0.4543,0.0028,0.0000,500,0.0020,0.0000,0.0000,500,0.0000,0.0000,0.0000,500,0.0000,0.6555,0.0000,500,0.4000,0.0000,0.0000,500,0.0000
"Keep entitites, fill in with gibberish",DIR,NER,0.9915,0.0000,4144,0.3825,0.9989,0.0000,4144,0.4549,1.0362,0.1704,4144,0.4464,0.2497,0.0000,4144,0.0927,0.3590,0.0000,4144,0.1351,0.0282,0.0000,4144,0.0135,0.3664,0.0000,4144,0.1759,0.1531,0.0000,4144,0.0481
Modifier: adj,MFT,Vocabulary,0.7832,1.1400,500,0.5020,0.5567,0.0000,500,0.3540,0.7549,0.5418,500,0.4742,0.0000,0.0000,500,0.0000,0.0715,0.0000,500,0.0466,0.0000,0.0000,500,0.0000,0.3237,0.0000,500,0.2040,0.0000,0.0000,500,0.0000
Order does matter for asymmetric relations,MFT,SRL,0.4681,0.0000,494,0.2874,0.1101,0.0000,494,0.0688,0.1853,0.0000,494,0.1123,0.0000,0.0000,494,0.0000,0.8395,1.2395,494,0.5121,0.0000,0.0000,494,0.0000,0.0000,0.0000,494,0.0000,0.0000,0.0000,494,0.0000
Order does not matter for comparison,MFT,SRL,12.7764,13.4765,1880,0.9330,13.3343,13.6231,1880,0.9777,1.0524,0.0000,1880,0.0728,9.1532,11.7450,1880,0.6628,3.2705,0.0000,1880,0.2540,0.0000,0.0000,1880,0.0000,0.0000,0.0000,1880,0.0000,5.6204,0.0000,1880,0.3930
Order does not matter for symmetric relations,MFT,SRL,0.8068,0.0000,495,0.4384,0.8727,0.0000,495,0.4727,0.0544,0.0000,495,0.0290,0.0000,0.0000,495,0.0000,0.8283,0.0000,495,0.4444,0.0000,0.0000,495,0.0000,0.0000,0.0000,495,0.0000,0.0000,0.0000,495,0.0000
Preamble is relevant (different injuries),MFT,Vocabulary,0.6173,0.0000,487,0.2259,0.3285,0.0000,487,0.1150,0.6187,0.0000,487,0.2232,0.3608,0.0000,487,0.1314,0.1842,0.0000,487,0.0654,0.0000,0.0000,487,0.0000,0.1386,0.0000,487,0.0493,0.0000,0.0000,487,0.0000
Product of paraphrases(q1) * paraphrases(q2),INV,Robustness,1.2598,0.0000,8342,0.0641,1.8644,0.0000,8342,0.0901,0.8484,0.0000,8342,0.0500,1.9841,0.0000,8342,0.1192,2.6799,0.0000,8342,0.1457,0.4027,0.0000,8342,0.0217,1.4065,0.0000,8342,0.0668,1.5492,0.0000,8342,0.0812
Replace synonyms in real pairs,INV,Taxonomy,0.9998,0.0000,381,0.0735,1.6981,0.0000,381,0.1076,0.5147,0.0000,381,0.0403,0.6706,0.0000,381,0.0577,0.6494,0.0000,381,0.0483,0.0557,0.0000,381,0.0026,0.6941,0.0000,381,0.0656,0.4157,0.0000,381,0.0387
Simple coref: his and her,MFT,Coref,0.3767,0.0000,95,0.0211,6.5886,0.0000,95,0.3895,8.0501,9.4023,95,0.4761,0.0000,0.0000,95,0.0000,0.0000,0.0000,95,0.0000,0.0000,0.0000,95,0.0000,0.0000,0.0000,95,0.0000,0.0000,0.0000,95,0.0000
"Symmetry: f(a, b) = f(b, a)",INV,Logic,0.6874,0.0000,482,0.0830,0.6700,0.0000,482,0.1017,0.2865,0.0000,482,0.0673,0.5582,0.0000,482,0.0871,1.5776,0.0000,482,0.1482,0.1178,0.0000,482,0.0104,0.5379,0.0000,482,0.1390,0.6157,0.0000,482,0.0491
Testing implications,DIR,Logic,1.1796,0.0000,16504,0.2395,0.9075,0.0000,16504,0.1929,0.5847,0.0000,16504,0.1433,0.8567,0.0000,16504,0.1566,1.4272,0.0000,16504,0.2407,0.2034,0.0000,16504,0.0388,0.3454,0.0000,16504,0.0769,0.6659,0.0000,16504,0.0979
What are things a {noun} should worry about != should not worry about.,MFT,Negation,0.0000,0.0000,488,0.0000,0.0000,0.0000,488,0.0000,0.0000,0.0000,488,0.0000,0.0000,0.0000,488,0.0000,0.0000,0.0000,488,0.0000,0.0000,0.0000,488,0.0000,0.0000,0.0000,488,0.0000,0.0000,0.0000,488,0.0000
What was person's life before becoming X != What was person's life after becoming X,MFT,Temporal,0.0000,0.0000,500,0.0000,0.0000,0.0000,500,0.0000,0.0026,0.0000,500,0.0013,0.0259,0.0000,500,0.0160,0.4400,0.0000,500,0.2480,0.0000,0.0000,500,0.0000,0.9578,1.4255,500,0.5260,0.0000,0.0000,500,0.0000
Who do X think - Who is the ... according to X,MFT,SRL,0.0000,0.0000,500,0.0000,0.0000,0.0000,500,0.0000,0.0000,0.0000,500,0.0000,0.2858,0.0000,500,0.1600,0.1028,0.0000,500,0.0560,0.1813,0.0000,500,0.1020,0.0000,0.0000,500,0.0000,0.0346,0.0000,500,0.0200
a {nationality} {profession} = a {profession} and {nationality},MFT,Logic,0.0000,0.0000,500,0.0000,0.0000,0.0000,500,0.0000,0.0000,0.0000,500,0.0000,0.2558,0.0000,500,0.1460,0.0827,0.0000,500,0.0482,0.0000,0.0000,500,0.0000,0.0000,0.0000,500,0.0000,0.0000,0.0000,500,0.0000
add one typo,INV,Robustness,0.5491,0.0000,890,0.0506,1.1288,0.0000,890,0.0921,0.4879,0.0000,890,0.0401,0.7633,0.0000,890,0.0708,0.8126,0.0000,890,0.0697,0.1250,0.0000,890,0.0135,0.9422,0.0000,890,0.0640,0.4659,0.0000,890,0.0395
contrations,INV,Robustness,1.0648,0.0000,33,0.0303,4.1345,0.0000,33,0.0909,0.3269,0.0000,33,0.0069,1.3897,0.0000,33,0.0303,2.3514,0.0000,33,0.1042,0.0000,0.0000,33,0.0000,0.9231,0.0000,33,0.0303,0.0519,0.0000,33,0.0011
different adjectives,MFT,Vocabulary,0.0095,0.0000,477,0.0063,0.0123,0.0000,477,0.0084,0.0138,0.0000,477,0.0081,0.0108,0.0000,477,0.0063,0.0140,0.0000,477,0.0092,0.0000,0.0000,477,0.0000,0.2153,0.0000,477,0.1405,0.0000,0.0000,477,0.0000
"same adjectives, different people",MFT,NER,0.0074,0.0000,486,0.0041,0.1414,0.0000,486,0.0947,0.0006,0.0000,486,0.0005,0.0000,0.0000,486,0.0000,0.0590,0.0005,486,0.0402,0.0000,0.0000,486,0.0000,0.3853,0.0000,486,0.2675,0.0129,0.0000,486,0.0087
"same adjectives, different people v2",MFT,NER,0.0642,0.0000,492,0.0447,0.2696,0.0000,492,0.1850,0.0326,0.0000,492,0.0219,0.0000,0.0000,492,0.0000,0.0769,0.0006,492,0.0525,0.0000,0.0000,492,0.0000,0.1833,0.0000,492,0.1260,0.0056,0.0000,492,0.0034
"same adjectives, different people v3",MFT,NER,0.0385,0.0000,495,0.0263,0.6391,0.0000,495,0.4162,0.0324,0.0000,495,0.0205,0.0000,0.0000,495,0.0000,0.0442,0.0000,495,0.0288,0.0000,0.0000,495,0.0000,0.0445,0.0000,495,0.0303,0.0069,0.0000,495,0.0042
traditional SRL: active / passive swap,MFT,SRL,0.0071,0.0000,500,0.0040,0.0000,0.0000,500,0.0000,0.0000,0.0000,500,0.0000,0.0095,0.0000,500,0.0060,0.3678,0.0000,500,0.2440,0.0059,0.0000,500,0.0040,0.0000,0.0000,500,0.0000,0.0000,0.0000,500,0.0000
traditional SRL: active / passive swap with people,MFT,SRL,0.0000,0.0000,495,0.0000,0.1657,0.0000,495,0.0990,0.0000,0.0000,495,0.0000,0.0000,0.0000,495,0.0000,0.4410,0.0000,495,0.2774,0.2761,0.0000,495,0.1737,0.0000,0.0000,495,0.0000,0.0000,0.0000,495,0.0000
traditional SRL: wrong active / passive swap,MFT,SRL,0.5664,0.0000,500,0.3700,0.0146,0.0000,500,0.0100,0.5856,0.7961,500,0.3836,0.7552,0.0000,500,0.4940,0.6377,0.0000,500,0.4129,0.0000,0.0000,500,0.0000,0.0000,0.0000,500,0.0000,0.0000,0.0000,500,0.0000
traditional SRL: wrong active / passive swap with people,MFT,SRL,0.1291,0.0000,494,0.0810,0.0206,0.0000,494,0.0121,0.0000,0.0000,494,0.0000,0.0133,0.0000,494,0.0081,0.5579,0.0000,494,0.3413,0.0000,0.0000,494,0.0000,0.0000,0.0000,494,0.0000,0.0000,0.0000,494,0.0000
